transaction_item_id,transaction_id,product_id,quantity,price
1,1,892,4,279769.23
2,1,743,2,3604863.8
3,1,27,5,615598.65
4,1,126,5,2808825.0
5,2,974,2,4908030.16
6,2,378,4,2973093.93
7,2,634,4,3507226.08
8,3,424,2,2610363.0
9,3,4,3,1817131.41
10,3,18,3,1008889.92
11,3,895,1,724688.52
12,3,993,3,383577.56
13,4,240,5,2237740.92
14,4,497,4,3510118.37
15,4,757,5,1696373.42
16,4,814,1,203524.84
17,5,439,4,1950290.54
18,5,675,1,4110210.15
19,5,752,4,1481593.98
20,6,622,2,761326.22
21,6,730,2,4744452.64
22,6,891,5,2653894.14
23,7,804,5,3934887.69
24,7,33,2,338083.05
25,7,510,1,4252030.14
26,7,309,5,95541.56
27,7,896,4,3896916.48
28,8,918,4,2173989.5
29,8,978,1,3898029.83
30,9,679,5,1382159.03
31,9,247,2,1192151.13
32,9,217,2,3504920.54
33,9,772,1,4885517.9
34,10,446,1,2988884.44
35,11,952,3,3899835.85
36,11,925,4,2952567.25
37,12,226,3,3271135.15
38,12,682,4,3239919.22
39,12,975,1,527528.4
40,13,945,5,1483802.49
41,13,649,4,4823527.26
42,14,815,3,3455663.63
43,15,955,5,2289188.66
44,15,785,5,4853820.63
45,16,660,3,4274460.51
46,17,933,4,626739.36
47,17,670,5,996774.18
48,17,990,4,68107.89
49,17,828,2,3707314.55
50,18,266,1,471395.34
51,18,298,1,2624482.63
52,19,92,3,265276.86
53,20,960,2,2135716.08
54,20,763,1,2052306.53
55,20,587,3,2487100.53
56,20,131,3,3054282.13
57,20,977,4,914490.2
58,21,755,1,4440777.03
59,21,319,1,1506873.46
60,21,605,5,2768795.29
61,21,195,4,1103451.72
62,21,434,3,4792728.48
63,22,817,2,4486186.5
64,22,533,5,2602026.83
65,22,605,2,2768795.29
66,23,405,1,2915397.66
67,24,873,4,2919288.28
68,24,324,2,3517197.3
69,24,836,3,1377147.72
70,24,858,2,2926590.91
71,24,512,4,4125989.76
72,25,616,3,49766.18
73,25,150,1,3193343.42
74,26,328,3,4475008.15
75,26,515,1,2835049.13
76,26,281,5,2568954.53
77,26,490,2,2666081.18
78,26,507,3,4345849.74
79,27,61,3,2419894.64
80,27,157,2,3781996.19
81,27,869,2,3609203.16
82,27,718,1,3874088.83
83,28,878,4,4204787.09
84,28,745,4,4845818.11
85,29,835,2,4590975.04
86,29,23,5,2754485.77
87,29,402,3,1270881.61
88,30,695,4,2651867.14
89,30,357,4,1809894.14
90,30,401,1,3170346.84
91,30,541,3,1919778.04
92,31,714,2,4034162.61
93,31,718,5,3874088.83
94,31,404,1,379086.03
95,32,332,5,4497565.14
96,32,887,1,2324165.53
97,33,469,2,1467528.65
98,33,592,2,3859437.15
99,33,453,4,593575.03
100,34,919,2,1720236.87
101,34,215,2,3731564.37
102,34,824,2,1354405.71
103,35,371,5,702811.89
104,36,695,2,2651867.14
105,37,974,4,4908030.16
106,37,696,2,4870159.51
107,37,949,1,73619.51
108,37,99,3,2793580.87
109,38,184,1,44082.3
110,38,121,5,1575325.49
111,38,666,3,1867476.32
112,38,608,4,1363577.21
113,39,643,4,1597108.02
114,39,251,1,3133705.76
115,40,247,4,1192151.13
116,41,310,5,4032776.82
117,41,978,2,3898029.83
118,41,669,4,118782.91
119,41,795,1,4861102.74
120,42,886,4,1864695.32
121,42,282,4,2335360.29
122,42,377,1,3607288.27
123,42,123,1,2057783.27
124,43,125,4,3531818.41
125,44,231,1,3370764.29
126,44,601,5,229749.16
127,44,587,4,2487100.53
128,44,281,1,2568954.53
129,44,814,5,203524.84
130,45,394,4,3411746.04
131,45,661,4,482679.13
132,46,586,2,3510483.06
133,46,102,3,2505388.74
134,46,66,5,3037234.71
135,47,416,1,2234434.97
136,47,404,5,379086.03
137,48,803,5,2603244.01
138,48,501,1,3142785.98
139,48,532,5,672171.96
140,48,552,1,1579373.3
141,48,772,2,4885517.9
142,49,186,5,4770633.77
143,50,6,5,4744629.41
144,50,458,3,2779013.75
145,51,41,2,3841230.37
146,52,212,2,2798398.02
147,52,90,5,3640265.24
148,52,263,1,1948211.05
149,52,87,1,1435884.42
150,52,519,3,2212016.88
151,53,990,5,68107.89
152,53,176,4,3244943.84
153,53,968,1,922518.41
154,54,308,1,2683333.13
155,54,969,5,2007248.63
156,55,675,5,4110210.15
157,55,456,2,2878282.16
158,55,591,4,3667349.83
159,56,536,3,3473214.7
160,56,621,5,3664992.05
161,56,523,2,803297.54
162,57,679,1,1382159.03
163,58,38,2,3215269.56
164,58,146,3,1077794.17
165,59,981,2,573558.02
166,59,617,5,1465059.5
167,60,606,3,1130331.42
168,60,285,2,1571480.87
169,61,433,1,1661638.38
170,61,564,3,668594.57
171,61,267,4,267167.78
172,61,666,2,1867476.32
173,61,410,4,840029.08
174,62,968,3,922518.41
175,63,963,2,3320141.59
176,63,549,2,4483998.8
177,63,73,3,1247115.22
178,63,649,2,4823527.26
179,64,578,5,2936321.44
180,64,620,2,4988957.71
181,64,430,2,3243369.89
182,65,807,4,4625391.55
183,65,389,1,4839137.8
184,65,988,5,2414829.09
185,66,80,3,2498810.94
186,66,128,5,4783860.61
187,67,701,5,1780475.13
188,68,68,3,3673656.78
189,68,656,1,4842316.02
190,68,372,3,1349349.92
191,68,797,3,401058.93
192,69,890,2,2507382.1
193,69,281,1,2568954.53
194,70,387,2,4823227.37
195,71,975,1,527528.4
196,71,802,1,2764750.42
197,71,180,5,4136679.23
198,71,746,3,2470479.15
199,72,842,4,1727802.53
200,72,98,5,1975579.53
201,72,358,5,35924.16
202,72,887,3,2324165.53
203,72,565,3,1833408.19
204,73,102,1,2505388.74
205,73,175,3,1660113.64
206,73,970,4,1366447.12
207,73,186,3,4770633.77
208,73,826,5,947799.1
209,74,609,4,2861964.45
210,74,489,5,4029148.06
211,74,131,3,3054282.13
212,74,10,5,1255562.15
213,74,731,2,4255277.26
214,75,147,4,4665789.43
215,75,582,3,4623892.49
216,76,941,3,1420706.77
217,77,695,5,2651867.14
218,77,429,4,122699.72
219,78,450,3,4594226.07
220,78,818,4,1695951.75
221,79,294,3,4832876.25
222,79,976,4,4013301.27
223,79,534,2,56341.87
224,79,313,1,967740.96
225,79,971,3,3452613.13
226,80,790,3,2386548.78
227,80,866,1,949916.81
228,80,650,1,2265066.21
229,80,79,2,2496345.05
230,81,170,5,4642989.68
231,82,87,3,1435884.42
232,83,952,4,3899835.85
233,83,828,1,3707314.55
234,83,986,4,2600307.4
235,83,694,5,302370.24
236,83,955,2,2289188.66
237,84,510,5,4252030.14
238,84,702,5,888740.83
239,84,715,1,3587518.79
240,84,416,1,2234434.97
241,85,195,1,1103451.72
242,85,732,4,918587.96
243,85,720,5,3525644.67
244,85,768,3,29039.71
245,85,251,5,3133705.76
246,86,44,5,1527581.47
247,86,460,2,1579754.27
248,86,691,5,1948022.56
249,86,926,2,624578.29
250,86,180,1,4136679.23
251,87,860,2,2811671.02
252,87,527,3,268418.5
253,87,976,1,4013301.27
254,88,508,4,3657350.37
255,88,175,3,1660113.64
256,88,994,1,1609962.74
257,88,347,2,157832.04
258,89,872,1,1947491.86
259,89,298,3,2624482.63
