transaction_id,customer_id,transaction_date,total_amount
1,754,2023-07-24 08:33:03,25450922.77
2,212,2023-09-05 09:39:47,35737340.36
3,855,2023-08-23 07:22:57,15574211.19
4,365,2023-09-13 22:31:20,33914570.02
5,123,2023-06-09 03:53:03,17837748.23
6,629,2023-03-22 17:56:14,24281028.42
7,981,2023-01-07 19:42:52,40668008.41
8,381,2023-02-13 17:33:34,12593987.83
9,505,2024-09-27 11:29:02,21190456.39
10,503,2024-08-11 10:00:09,2988884.44
11,287,2023-07-07 18:36:35,23509776.55
12,769,2024-02-12 08:05:10,23300610.73
13,56,2024-08-13 04:40:09,26713121.49
14,490,2024-06-22 15:24:26,10366990.89
15,515,2024-07-07 01:11:08,35715046.45
16,882,2023-12-22 14:20:05,12823381.53
17,469,2024-12-03 06:21:51,15177889.0
18,472,2023-05-04 18:52:02,3095877.97
19,13,2023-11-20 00:18:23,795830.58
20,389,2024-11-21 07:40:23,26605847.47
21,334,2024-08-17 03:40:05,38583619.26
22,883,2024-01-06 22:18:38,27520097.73
23,562,2023-09-23 06:48:50,2915397.66
24,276,2023-09-27 08:38:02,45200131.74
25,352,2024-04-27 22:19:18,3342641.96
26,511,2024-01-10 06:41:45,47474557.81
27,430,2024-03-10 07:39:54,25916171.45
28,374,2024-12-18 13:33:19,36202420.8
29,462,2024-02-15 10:10:51,26767023.76
30,135,2023-07-04 20:48:15,26776726.08
31,834,2024-08-12 08:19:18,27817855.4
32,824,2023-04-13 09:49:42,24811991.23
33,443,2023-08-30 20:13:09,13028231.72
34,150,2024-01-26 07:08:18,13612413.9
35,826,2023-06-03 17:13:15,3514059.45
36,432,2023-01-10 06:25:48,5303734.28
37,915,2024-05-26 04:53:45,37826801.78
38,547,2024-10-07 18:49:25,18977447.55
39,308,2023-11-20 17:43:02,9522137.84
40,880,2023-09-14 20:28:00,4768604.52
41,408,2024-08-04 01:44:13,33296178.14
42,62,2023-04-12 05:56:49,22465293.98
43,488,2023-08-09 09:15:30,14127273.64
44,461,2024-10-06 03:30:22,18054490.94
45,370,2023-12-09 09:27:28,15577700.68
46,571,2024-01-04 20:24:06,29723305.89
47,21,2023-09-21 12:31:47,4129865.12
48,360,2024-02-26 04:24:50,30870274.93
49,204,2024-11-26 22:02:54,23853168.85
50,666,2024-08-13 20:58:03,32060188.3
51,179,2024-10-26 19:36:14,7682460.74
52,333,2023-10-19 12:55:44,33818268.35
53,500,2024-11-20 18:35:04,14242833.22
54,391,2024-04-02 02:51:17,12719576.28
55,475,2024-09-20 10:25:55,40977014.39
56,890,2024-10-08 05:16:25,30351199.43
57,828,2023-06-21 23:19:22,1382159.03
58,647,2023-12-12 15:21:28,9663921.63
59,415,2024-09-19 20:48:45,8472413.54
60,166,2023-03-15 02:52:49,6533956.0
61,322,2023-12-18 08:18:32,11831162.17
62,299,2023-11-21 23:46:31,2767555.23
63,620,2024-12-28 09:44:18,28996680.96
64,278,2024-10-22 14:23:53,31146262.4
65,766,2024-03-31 13:13:20,35414849.45
66,989,2024-08-24 18:58:00,31415735.87
67,172,2024-04-06 15:04:22,8902375.65
68,129,2023-07-08 00:50:27,21114512.91
69,964,2023-08-29 09:09:43,7583718.73
70,216,2024-12-18 02:54:54,9646454.74
71,106,2023-06-20 14:27:21,31387112.42
72,960,2023-04-08 02:19:21,29441449.73
73,56,2024-04-29 19:58:04,32002414.95
74,537,2023-01-27 14:27:17,55544809.76
75,269,2023-03-27 03:47:02,32534835.19
76,87,2024-09-24 05:39:12,4262120.31
77,317,2024-11-01 14:11:37,13750134.58
78,756,2023-08-23 09:00:26,20566485.21
79,642,2023-10-18 16:08:05,41990097.92
80,540,2023-05-10 04:46:46,15367319.46
81,36,2023-06-24 01:02:24,23214948.4
82,882,2024-11-10 12:59:31,4307653.26
83,479,2023-11-30 17:20:10,35798116.07
84,562,2024-07-07 09:55:05,31525808.61
85,993,2024-03-31 04:55:09,38161674.84
86,182,2024-12-15 19:38:05,25923364.5
87,468,2024-08-28 21:45:26,10441898.81
88,899,2024-10-08 23:09:02,21535369.22
89,537,2024-07-31 15:50:13,32588808.61
90,547,2024-10-17 23:17:04,46909687.41
91,494,2023-11-14 12:38:24,41675502.03
92,825,2024-07-06 08:16:10,14233888.23
93,316,2023-04-02 16:05:15,15758724.83
94,267,2024-01-10 15:00:28,15258587.18
95,11,2023-06-09 11:03:09,39636773.88
96,835,2023-01-01 19:03:12,20690144.06
97,294,2023-05-20 12:31:13,18376904.28
98,9,2024-04-25 19:28:56,13097390.02
99,970,2024-12-05 17:54:38,7796107.68
100,10,2024-05-03 10:54:30,3310355.16
101,612,2024-03-16 10:39:53,6368133.28
102,562,2023-08-25 00:15:46,34602818.86
103,422,2024-01-18 06:51:56,31311314.44
104,405,2024-07-28 15:54:52,14665261.52
105,733,2023-09-13 05:56:40,196953.7
106,849,2024-10-23 14:11:21,11144910.8
107,270,2024-01-23 08:01:53,17826996.91
108,641,2023-03-23 15:22:23,10573191.8
109,783,2023-09-03 18:48:33,26636649.17
110,292,2024-09-19 09:53:53,15680232.37
111,829,2024-10-26 19:22:02,16845125.53
112,193,2023-10-03 15:02:00,42396976.69
113,140,2023-03-12 06:38:28,24046232.52
114,653,2023-10-24 04:01:04,11551190.0
115,464,2024-04-11 22:29:27,9924474.41
116,504,2023-10-06 22:40:25,1864695.32
117,20,2023-07-12 11:40:27,32695373.01
118,993,2023-06-05 01:48:25,3213190.16
119,191,2024-07-01 00:48:20,2626683.15
120,276,2023-04-15 10:16:17,16739761.39
121,745,2023-05-09 15:57:44,7391487.3
122,93,2023-01-09 08:28:34,12642674.16
123,506,2023-06-04 00:32:10,23720488.93
124,431,2023-08-11 12:26:55,3670614.44
125,381,2023-11-16 18:08:45,19609778.35
126,339,2024-04-19 01:09:19,1005294.46
127,58,2023-03-24 05:19:08,40660475.45
128,74,2023-09-30 14:17:15,6719556.2
129,186,2024-07-10 17:07:03,23540064.4
130,837,2023-07-16 09:06:18,20793200.6
131,125,2024-01-26 00:27:33,9999990.52
132,790,2023-09-12 14:00:36,23879474.45
133,756,2024-03-29 08:59:56,32834272.21
134,472,2023-02-04 07:15:06,2549903.62
135,682,2023-04-07 18:58:26,38189683.38
136,399,2023-08-02 17:12:54,16026275.44
137,959,2024-11-28 11:21:48,46899556.87
138,645,2023-11-27 05:46:29,29265532.81
139,534,2023-02-13 20:00:34,55135794.01
140,493,2023-05-06 09:13:22,9108086.55
141,204,2024-10-15 10:52:46,41359677.41
142,885,2024-01-05 01:53:47,24461313.94
143,997,2024-11-13 07:55:45,13676321.42
144,649,2023-04-26 08:35:28,4852153.52
145,16,2024-03-20 11:48:54,32255439.41
146,599,2023-06-21 10:03:08,9458526.93
147,809,2023-05-03 14:24:39,13165752.42
148,993,2023-09-06 00:19:30,8820814.25
149,803,2023-02-13 21:09:22,8954733.48
150,705,2024-12-08 17:18:14,27058609.52
