product_id,product_name,category,price
1,Product 1,Home,4244859.86
2,Product 2,Accessories,183646.84
3,Product 3,Fashion,1187616.95
4,Product 4,Books,1817131.41
5,Product 5,Electronics,3029423.2
6,Product 6,Accessories,4744629.41
7,Product 7,Books,2225257.05
8,Product 8,Fashion,2873869.67
9,Product 9,Books,1996189.89
10,Product 10,Sports,1255562.15
11,Product 11,Fashion,139307.57
12,Product 12,Home,2500229.36
13,Product 13,Food,4568577.1
14,Product 14,Fashion,1316265.62
15,Product 15,Sports,3523148.68
16,Product 16,Beauty,4981861.91
17,Product 17,Sports,3472963.4
18,Product 18,Accessories,1008889.92
19,Product 19,Home,4265603.19
20,Product 20,Accessories,871555.26
21,Product 21,Accessories,4986339.4
22,Product 22,Books,3342520.55
23,Product 23,Fashion,2754485.77
24,Product 24,Sports,4457745.09
25,Product 25,Home,3561927.43
26,Product 26,Home,3970544.96
27,Product 27,Beauty,615598.65
28,Product 28,Beauty,3962407.71
29,Product 29,Beauty,3953961.57
30,Product 30,Electronics,1810873.66
31,Product 31,Books,2342355.14
32,Product 32,Home,3063622.33
33,Product 33,Fashion,338083.05
34,Product 34,Food,4997979.27
35,Product 35,Accessories,2633221.32
36,Product 36,Food,4118463.6
37,Product 37,Fashion,635380.64
38,Product 38,Books,3215269.56
39,Product 39,Accessories,2334507.67
40,Product 40,Books,650389.71
41,Product 41,Home,3841230.37
42,Product 42,Home,2168765.25
43,Product 43,Electronics,4158640.12
44,Product 44,Home,1527581.47
45,Product 45,Home,1620077.15
46,Product 46,Beauty,1736655.18
47,Product 47,Sports,4231209.19
48,Product 48,Sports,989546.58
49,Product 49,Sports,634599.77
50,Product 50,Sports,3075997.11
51,Product 51,Fashion,2517839.99
52,Product 52,Home,2963124.14
53,Product 53,Home,864291.11
54,Product 54,Books,4214224.72
55,Product 55,Electronics,4127928.97
56,Product 56,Electronics,415302.05
57,Product 57,Sports,3259138.59
58,Product 58,Food,3094361.05
59,Product 59,Electronics,2495209.92
60,Product 60,Sports,3213117.37
61,Product 61,Sports,2419894.64
62,Product 62,Food,1494195.02
63,Product 63,Fashion,3446181.72
64,Product 64,Home,2203631.44
65,Product 65,Accessories,2327566.37
66,Product 66,Books,3037234.71
67,Product 67,Books,4308810.53
68,Product 68,Books,3673656.78
69,Product 69,Books,4877116.9
70,Product 70,Home,3805718.32
71,Product 71,Fashion,1602388.27
72,Product 72,Accessories,621384.33
73,Product 73,Accessories,1247115.22
74,Product 74,Fashion,262520.41
75,Product 75,Food,4322177.61
76,Product 76,Food,1248868.7
77,Product 77,Home,4069254.45
78,Product 78,Books,957272.17
79,Product 79,Home,2496345.05
80,Product 80,Accessories,2498810.94
81,Product 81,Sports,2491877.66
82,Product 82,Fashion,4726711.69
83,Product 83,Accessories,4833766.29
84,Product 84,Beauty,2920887.12
85,Product 85,Electronics,262196.62
86,Product 86,Accessories,2991618.67
87,Product 87,Accessories,1435884.42
88,Product 88,Electronics,4237390.1
89,Product 89,Food,678335.37
90,Product 90,Sports,3640265.24
91,Product 91,Food,1836027.39
92,Product 92,Food,265276.86
93,Product 93,Beauty,1818993.64
94,Product 94,Sports,376923.43
95,Product 95,Accessories,3824376.53
96,Product 96,Sports,4128303.48
97,Product 97,Fashion,652030.32
98,Product 98,Fashion,1975579.53
99,Product 99,Books,2793580.87
100,Product 100,Books,3777276.21
101,Product 101,Beauty,3016290.13
102,Product 102,Food,2505388.74
103,Product 103,Electronics,204180.69
104,Product 104,Books,4021789.62
105,Product 105,Accessories,753213.92
106,Product 106,Home,1646549.58
107,Product 107,Books,820885.21
108,Product 108,Sports,2972686.03
109,Product 109,Accessories,3546611.63
110,Product 110,Sports,2379714.07
111,Product 111,Electronics,1848105.47
112,Product 112,Fashion,4899691.18
113,Product 113,Sports,3985806.52
114,Product 114,Electronics,2988578.98
115,Product 115,Sports,4835682.77
116,Product 116,Beauty,3609786.56
117,Product 117,Accessories,860855.19
118,Product 118,Food,747400.78
119,Product 119,Beauty,167536.86
120,Product 120,Fashion,962013.8
121,Product 121,Accessories,1575325.49
122,Product 122,Home,2070670.95
123,Product 123,Beauty,2057783.27
124,Product 124,Accessories,4365360.37
125,Product 125,Electronics,3531818.41
126,Product 126,Beauty,2808825.0
127,Product 127,Accessories,2632130.99
128,Product 128,Books,4783860.61
129,Product 129,Accessories,4561499.56
130,Product 130,Books,2735903.36
131,Product 131,Sports,3054282.13
132,Product 132,Beauty,4787113.61
133,Product 133,Sports,2794852.39
134,Product 134,Beauty,4708012.88
135,Product 135,Sports,3858159.6
136,Product 136,Beauty,3454297.16
137,Product 137,Accessories,1592033.32
138,Product 138,Books,2806833.08
139,Product 139,Sports,1446068.98
140,Product 140,Food,4479844.7
141,Product 141,Food,4093703.53
142,Product 142,Home,1459358.73
143,Product 143,Sports,4777015.45
144,Product 144,Fashion,1738353.94
145,Product 145,Accessories,3283300.53
146,Product 146,Accessories,1077794.17
