product_key,product_id,product_name,category,price
5001,1,Product 1,Home,4244859.86
5002,2,Product 2,Accessories,183646.84
5003,3,Product 3,Fashion,1187616.95
5004,4,Product 4,Books,1817131.41
5005,5,Product 5,Electronics,3029423.2
5006,6,Product 6,Accessories,4744629.41
5007,7,Product 7,Books,2225257.05
5008,8,Product 8,Fashion,2873869.67
5009,9,Product 9,Books,1996189.89
5010,10,Product 10,Sports,1255562.15
5011,11,Product 11,Fashion,139307.57
5012,12,Product 12,Home,2500229.36
5013,13,Product 13,Food,4568577.1
5014,14,Product 14,Fashion,1316265.62
5015,15,Product 15,Sports,3523148.68
5016,16,Product 16,Beauty,4981861.91
5017,17,Product 17,Sports,3472963.4
5018,18,Product 18,Accessories,1008889.92
5019,19,Product 19,Home,4265603.19
5020,20,Product 20,Accessories,871555.26
5021,21,Product 21,Accessories,4986339.4
5022,22,Product 22,Books,3342520.55
5023,23,Product 23,Fashion,2754485.77
5024,24,Product 24,Sports,4457745.09
5025,25,Product 25,Home,3561927.43
5026,26,Product 26,Home,3970544.96
5027,27,Product 27,Beauty,615598.65
5028,28,Product 28,Beauty,3962407.71
5029,29,Product 29,Beauty,3953961.57
5030,30,Product 30,Electronics,1810873.66
5031,31,Product 31,Books,2342355.14
5032,32,Product 32,Home,3063622.33
5033,33,Product 33,Fashion,338083.05
5034,34,Product 34,Food,4997979.27
5035,35,Product 35,Accessories,2633221.32
5036,36,Product 36,Food,4118463.6
5037,37,Product 37,Fashion,635380.64
5038,38,Product 38,Books,3215269.56
5039,39,Product 39,Accessories,2334507.67
5040,40,Product 40,Books,650389.71
5041,41,Product 41,Home,3841230.37
5042,42,Product 42,Home,2168765.25
5043,43,Product 43,Electronics,4158640.12
5044,44,Product 44,Home,1527581.47
5045,45,Product 45,Home,1620077.15
5046,46,Product 46,Beauty,1736655.18
5047,47,Product 47,Sports,4231209.19
5048,48,Product 48,Sports,989546.58
5049,49,Product 49,Sports,634599.77
5050,50,Product 50,Sports,3075997.11
5051,51,Product 51,Fashion,2517839.99
5052,52,Product 52,Home,2963124.14
5053,53,Product 53,Home,864291.11
5054,54,Product 54,Books,4214224.72
5055,55,Product 55,Electronics,4127928.97
5056,56,Product 56,Electronics,415302.05
5057,57,Product 57,Sports,3259138.59
5058,58,Product 58,Food,3094361.05
5059,59,Product 59,Electronics,2495209.92
5060,60,Product 60,Sports,3213117.37
5061,61,Product 61,Sports,2419894.64
5062,62,Product 62,Food,1494195.02
